"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"5117","Chicago, IL","Philadelphia, PA","Blue",32,"Male",2,2010,2,0.4286,"Mileage tickets",3,0,180,"Eco",13,"2/13/14","WN","Cheapseats Airlines Inc.","Pennsylvania","Illinois",6,NA,NA,"Yes",NA,668,6,-75.2984,39.9733,-87.8954,41.8271,NA
"5118","Miami, FL","Charlotte, NC","Blue",64,"Female",1,2006,6,0,"Business travel",0,0,140,"Eco",15,"1/15/14","US","Southeast Airlines Co.","North Carolina","Florida",18,0,19,"No",121,650,9,-80.8158,35.2497,-80.2314,26.1756,NA
"5119","Minneapolis, MN","Milwaukee, WI","Blue",48,"Female",1,2009,7,0,"Business travel",2,90,15,"Eco",8,"1/8/14","WN","Cheapseats Airlines Inc.","Wisconsin","Minnesota",7,NA,NA,"Yes",NA,297,9,-88.1005,43.0557,-93.2798,44.9782,NA
"5120","Charlotte, NC","Houston, TX","Blue",30,"Female",2,2003,14,-0.2727,"Business travel",3,0,65,"Eco",23,"2/23/14","US","Southeast Airlines Co.","Texas","North Carolina",5,0,0,"No",107,912,6,-95.3935,29.7843,-80.8158,35.2497,NA
"5121","Chicago, IL","Baltimore, MD","Blue",52,"Female",2,2011,19,-0.5833,"Personal Travel",0,60,15,"Eco",11,"1/11/14","MQ","EnjoyFlying Air Services","Maryland","Illinois",20,15,6,"No",98,622,4,-76.6478,39.2341,-87.8954,41.8271,NA
"5122","Los Angeles, CA","Chicago, IL","Silver",76,"Male",1,2007,20,-0.4815,"Personal Travel",0,0,65,"Eco",4,"2/4/14","AA","Paul Smith Airlines Inc.","Illinois","California",7,0,0,"No",246,1744,9,-87.8954,41.8271,-118.1043,33.9827,NA
"5123","Washington, DC","Chicago, IL","Blue",20,"Female",1,2006,13,-0.3,"Business travel",0,5,140,"Eco",12,"3/12/14","OU","Oursin Airlines Inc.","Illinois","Virginia",16,250,258,"No",88,589,7,-87.8954,41.8271,-77.1897,38.8974,NA
"5124","Atlanta, GA","Baton Rouge, LA","Gold",51,"Male",1,2012,27,-0.5,"Business travel",0,37,35,"Eco",5,"1/5/14","EV","FlyFast Airways Inc.","Louisiana","Georgia",6,0,0,"No",56,448,7,-91.039,30.4279,-84.3319,33.8241,NA
"5125","Boston, MA","Houston, TX","Blue",71,"Female",1,2011,38,-0.7674,"Personal Travel",0,0,60,"Eco",8,"2/8/14","WN","Cheapseats Airlines Inc.","Texas","Massachusetts",15,0,0,"No",181,1609,2,-95.3935,29.7843,-71.1407,42.3731,NA
"5126","Seattle, WA","Boston, MA","Blue",16,"Female",1,2003,17,-0.5455,"Personal Travel",1,0,60,"Eco",5,"3/5/14","B6","OnlyJets Airlines Inc.","Massachusetts","Washington",19,1,1,"No",352,2496,4,-71.1407,42.3731,-122.2747,47.4684,NA
"5127","Denver, CO","Las Vegas, NV","Silver",85,"Female",1,2007,19,-0.4615,"Personal Travel",0,0,15,"Eco",15,"2/15/14","F9","GoingNorth Airlines Inc.","Nevada","Colorado",6,0,0,"No",85,628,6,-115.1672,36.1349,-104.9551,39.7108,NA
"5128","Sacramento, CA","Los Angeles, CA","Blue",53,"Male",1,2009,7,0,"Personal Travel",1,0,60,"Business",9,"3/9/14","WN","Cheapseats Airlines Inc.","California","California",12,0,0,"No",61,373,7,-118.1043,33.9827,-121.3247,38.6386,NA
"5129","Albuquerque, NM","Salt Lake City, UT","Silver",49,"Female",1,2009,5,0.5238,"Business travel",2,0,15,"Eco",7,"1/7/14","OO","Northwest Business Airlines Inc.","Utah","New Mexico",15,0,0,"No",67,493,8,-111.9295,40.6408,-106.6281,35.1434,NA
"5130","Detroit, MI","Atlanta, GA","Blue",17,"Male",1,2006,23,-0.4375,"Personal Travel",1,0,5,"Eco",28,"1/28/14","FL","FlyHere Airways","Georgia","Michigan",14,2,42,"No",84,594,3,-84.3319,33.8241,-83.2276,42.49,NA
"5131","Chicago, IL","Buffalo, NY","Blue",39,"Male",2,2005,21,-0.75,"Personal Travel",1,30,210,"Business",23,"1/23/14","OU","Oursin Airlines Inc.","New York","Illinois",16,14,44,"No",79,473,8,-78.8237,42.9249,-87.8954,41.8271,NA
"5132","Hartford, CT","Minneapolis, MN","Blue",17,"Male",2,2004,21,-0.9091,"Personal Travel",3,0,30,"Eco",18,"1/18/14","EV","FlyFast Airways Inc.","Minnesota","Connecticut",11,55,47,"No",132,1050,3,-93.2798,44.9782,-72.6988,41.7401,NA
"5133","Denver, CO","New York, NY","Silver",39,"Female",1,2005,49,-0.7193,"Personal Travel",1,0,90,"Eco",24,"1/24/14","OU","Oursin Airlines Inc.","New York","Colorado",6,0,0,"No",218,1620,10,-73.9702,40.7184,-104.9551,39.7108,NA
"5134","Atlanta, GA","Knoxville, TN","Blue",64,"Male",1,2010,59,-0.7612,"Personal Travel",0,0,0,"Eco",9,"1/9/14","EV","FlyFast Airways Inc.","Tennessee","Georgia",17,35,35,"No",45,152,2,-84.0244,35.9168,-84.3319,33.8241,NA
"5135","Boston, MA","Jacksonville, FL","Blue",67,"Female",1,2012,21,-0.4483,"Personal Travel",0,0,55,"Eco",30,"1/30/14","B6","OnlyJets Airlines Inc.","Florida","Massachusetts",19,0,0,"No",125,1010,2,-81.6427,30.2401,-71.1407,42.3731,NA
"5136","San Francisco, CA","Seattle, WA","Gold",63,"Female",1,2005,25,-0.9231,"Personal Travel",0,0,60,"Eco",17,"1/17/14","OO","Northwest Business Airlines Inc.","Washington","California",5,0,0,"No",101,679,7,-122.2747,47.4684,-122.1585,37.6712,NA
"5137","Philadelphia, PA","San Francisco, CA","Blue",79,"Female",2,2003,31,-0.7714,"Personal Travel",0,0,10,"Eco",4,"1/4/14","US","Southeast Airlines Co.","California","Pennsylvania",8,8,6,"No",293,2521,3,-122.1585,37.6712,-75.2984,39.9733,NA
"5138","Los Angeles, CA","New York, NY","Blue",22,"Male",1,2004,56,-0.8361,"Mileage tickets",0,0,20,"Eco",30,"1/30/14","DL","Sigma Airlines Inc.","New York","California",7,0,10,"No",370,2475,7,-73.9702,40.7184,-118.1043,33.9827,NA
"5139","Philadelphia, PA","Orlando, FL","Blue",77,"Female",1,2009,31,-0.9375,"Personal Travel",0,60,100,"Eco",28,"3/28/14","WN","Cheapseats Airlines Inc.","Florida","Pennsylvania",14,62,54,"No",126,861,4,-81.4112,28.5844,-75.2984,39.9733,NA
"5140","Houston, TX","Seattle, WA","Blue",54,"Female",2,2009,32,-0.641,"Personal Travel",0,0,120,"Eco",10,"1/10/14","OU","Oursin Airlines Inc.","Washington","Texas",23,0,0,"No",211,1874,4,-122.2747,47.4684,-95.3935,29.7843,NA
"5141","Houston, TX","Minneapolis, MN","Blue",17,"Male",2,2012,2,0.6,"Personal Travel",2,0,95,"Eco",14,"3/14/14","EV","FlyFast Airways Inc.","Minnesota","Texas",5,0,0,"No",148,1034,7,-93.2798,44.9782,-95.3935,29.7843,NA
"5142","Las Vegas, NV","Reno, NV","Blue",54,"Female",1,2010,17,-0.4167,"Personal Travel",1,0,10,"Eco",2,"1/2/14","WN","Cheapseats Airlines Inc.","Nevada","Nevada",19,31,28,"No",49,345,3,-119.7959,39.5326,-115.1672,36.1349,NA
"5143","Peoria, IL","Atlanta, GA","Platinum",52,"Male",2,2010,6,0.25,"Business travel",4,140,30,"Eco",29,"3/29/14","EV","FlyFast Airways Inc.","Georgia","Illinois",20,1,0,"No",92,565,10,-84.3319,33.8241,-89.5853,40.7018,NA
"5144","Austin, TX","Houston, TX","Gold",71,"Female",1,2012,23,-0.6429,"Personal Travel",0,0,203,"Eco",8,"3/8/14","WN","Cheapseats Airlines Inc.","Texas","Texas",19,45,50,"No",34,148,1,-95.3935,29.7843,-97.7615,30.3585,NA
"5145","Kansas City, MO","Chicago, IL","Blue",17,"Male",1,2008,25,-0.9231,"Mileage tickets",1,0,65,"Eco",26,"1/26/14","WN","Cheapseats Airlines Inc.","Illinois","Missouri",16,66,80,"No",86,405,7,-87.8954,41.8271,-94.5949,39.0398,NA
"5146","Washington, DC","Denver, CO","Silver",51,"Female",1,2007,21,-0.3548,"Personal Travel",1,70,90,"Eco",20,"3/20/14","WN","Cheapseats Airlines Inc.","Colorado","Virginia",11,0,0,"No",166,1452,10,-104.9551,39.7108,-77.1897,38.8974,NA
"5147","Las Vegas, NV","Denver, CO","Blue",62,"Male",1,2003,20,-0.4286,"Business travel",0,0,80,"Eco",6,"2/6/14","F9","GoingNorth Airlines Inc.","Colorado","Nevada",19,19,9,"No",89,628,10,-104.9551,39.7108,-115.1672,36.1349,NA
"5148","Houston, TX","Lafayette, LA","Silver",29,"Male",1,2008,46,-0.8039,"Business travel",0,0,60,"Eco",17,"1/17/14","EV","FlyFast Airways Inc.","Louisiana","Texas",8,0,0,"No",41,201,8,-92.0133,30.1654,-95.3935,29.7843,NA
"5149","Portland, OR","Sacramento, CA","Silver",50,"Female",1,2005,25,-0.5625,"Business travel",1,20,45,"Eco Plus",6,"2/6/14","WN","Cheapseats Airlines Inc.","California","Oregon",12,9,7,"No",74,479,9,-121.3247,38.6386,-122.6511,45.5204,NA
"5150","Phoenix, AZ","Atlanta, GA","Silver",36,"Female",1,2006,6,0.2,"Business travel",3,0,180,"Eco",2,"1/2/14","WN","Cheapseats Airlines Inc.","Georgia","Arizona",11,87,79,"No",232,1587,8,-84.3319,33.8241,-111.97,33.4941,NA
"5151","Washington, DC","Miami, FL","Blue",49,"Male",1,2003,16,-0.8824,"Business travel",1,0,110,"Eco",28,"3/28/14","AA","Paul Smith Airlines Inc.","Florida","Virginia",8,0,0,"No",126,919,5,-80.2314,26.1756,-77.1897,38.8974,NA
"5152","San Diego, CA","Atlanta, GA","Blue",69,"Female",1,2010,42,-0.7872,"Personal Travel",0,0,30,"Eco",18,"3/18/14","DL","Sigma Airlines Inc.","Georgia","California",14,80,NA,"No",NA,1892,2,-84.3319,33.8241,-117.1288,32.9287,NA
"5153","New York, NY","Washington, DC","Gold",47,"Female",1,2005,4,0.4667,"Business travel",3,91,50,"Eco",1,"2/1/14","MQ","EnjoyFlying Air Services","Virginia","New York",12,0,0,"No",41,213,9,-77.1897,38.8974,-73.9702,40.7184,NA
"5154","Des Moines, IA","Phoenix, AZ","Gold",37,"Female",1,2006,39,-0.7333,"Business travel",0,0,120,"Eco",29,"1/29/14","US","Southeast Airlines Co.","Arizona","Iowa",19,0,0,"No",143,1149,10,-111.97,33.4941,-93.6561,41.6194,NA
"5155","Portland, OR","San Francisco, CA","Silver",40,"Male",1,2010,1,0.7778,"Business travel",2,0,20,"Eco",12,"3/12/14","OO","Northwest Business Airlines Inc.","California","Oregon",9,0,0,"No",85,550,8,-122.1585,37.6712,-122.6511,45.5204,NA
"5156","Houston, TX","St. Louis, MO","Blue",54,"Female",2,2008,36,-0.7561,"Personal Travel",0,0,50,"Eco",9,"1/9/14","WN","Cheapseats Airlines Inc.","Missouri","Texas",16,74,77,"No",113,687,4,-90.3409,38.6307,-95.3935,29.7843,NA
"5157","Kalispell, MT","Denver, CO","Blue",80,"Female",2,2010,0,1,"Personal Travel",0,0,90,"Eco",14,"1/14/14","OO","Northwest Business Airlines Inc.","Colorado","Montana",12,28,39,"No",124,752,5,-104.9551,39.7108,-114.3009,48.2181,NA
"5158","Marquette, MI","Chicago, IL","Blue",63,"Male",2,2012,25,-0.7241,"Personal Travel",0,0,90,"Eco",5,"1/5/14","MQ","EnjoyFlying Air Services","Illinois","Michigan",19,134,168,"No",44,303,5,-87.8954,41.8271,-87.3987,46.5369,NA
"5159","San Francisco, CA","Las Vegas, NV","Blue",38,"Female",1,2011,31,-0.4419,"Mileage tickets",2,10,15,"Eco",21,"1/21/14","OU","Oursin Airlines Inc.","Nevada","California",13,0,0,"No",66,414,8,-115.1672,36.1349,-122.1585,37.6712,NA
"5160","San Francisco, CA","Phoenix, AZ","Silver",35,"Female",2,2011,12,0.2258,"Personal Travel",4,0,80,"Eco",23,"3/23/14","WN","Cheapseats Airlines Inc.","Arizona","California",21,24,28,"No",96,651,8,-111.97,33.4941,-122.1585,37.6712,NA
"5161","Miami, FL","Charlotte, NC","Platinum",48,"Male",1,2012,32,-0.6,"Business travel",2,45,15,"Eco",26,"1/26/14","MQ","EnjoyFlying Air Services","North Carolina","Florida",16,0,0,"No",101,650,9,-80.8158,35.2497,-80.2314,26.1756,NA
"5162","Seattle, WA","Chicago, IL","Blue",16,"Female",2,2006,13,-0.3,"Business travel",4,15,50,"Eco",24,"2/24/14","AS","FlyToSun Airlines Inc.","Illinois","Washington",15,0,0,"No",261,1721,7,-87.8954,41.8271,-122.2747,47.4684,NA
"5163","Orlando, FL","Chicago, IL","Silver",30,"Male",2,2006,0,1,"Business travel",0,0,30,"Eco",2,"2/2/14","AA","Paul Smith Airlines Inc.","Illinois","Florida",15,1,3,"No",137,1005,9,-87.8954,41.8271,-81.4112,28.5844,NA
"5164","Detroit, MI","Denver, CO","Blue",16,"Female",1,2009,31,-0.0333,"Business travel",2,0,100,"Eco",4,"1/4/14","DL","Sigma Airlines Inc.","Colorado","Michigan",8,22,59,"No",129,1123,8,-104.9551,39.7108,-83.2276,42.49,NA
"5165","Buffalo, NY","Baltimore, MD","Blue",28,"Male",0,2009,5,0.2308,"Business travel",0,0,80,"Eco",24,"3/24/14","WN","Cheapseats Airlines Inc.","Maryland","New York",20,9,13,"No",51,281,8,-76.6478,39.2341,-78.8237,42.9249,NA
"5166","Atlanta, GA","Pensacola, FL","Blue",38,"Female",1,2003,9,0.3571,"Personal Travel",3,45,135,"Eco",21,"3/21/14","DL","Sigma Airlines Inc.","Florida","Georgia",16,0,0,"No",43,271,4,-87.2534,30.4853,-84.3319,33.8241,NA
"5167","Orlando, FL","Washington, DC","Blue",16,"Male",1,2012,34,-0.8889,"Personal Travel",2,0,60,"Eco",26,"3/26/14","B6","OnlyJets Airlines Inc.","Virginia","Florida",7,0,0,"No",116,759,7,-77.1897,38.8974,-81.4112,28.5844,NA
"5168","Lihue, HI","Los Angeles, CA","Blue",49,"Female",2,2003,26,-0.5758,"Business travel",0,0,35,"Eco",24,"1/24/14","AA","Paul Smith Airlines Inc.","California","Hawaii",9,0,6,"No",347,2615,7,-118.1043,33.9827,-159.3617,21.9758,NA
"5169","Houston, TX","Tampa, FL","Blue",49,"Male",1,2008,14,-0.2727,"Business travel",0,15,60,"Eco",2,"2/2/14","OU","Oursin Airlines Inc.","Florida","Texas",6,0,0,"No",113,787,9,-82.5132,28.0062,-95.3935,29.7843,NA
"5170","Austin, TX","Las Vegas, NV","Silver",50,"Male",1,2010,11,0,"Mileage tickets",4,0,40,"Eco",1,"1/1/14","WN","Cheapseats Airlines Inc.","Nevada","Texas",19,36,31,"No",132,1090,9,-115.1672,36.1349,-97.7615,30.3585,NA
"5171","Phoenix, AZ","Boston, MA","Blue",40,"Female",1,2010,34,-0.5814,"Business travel",0,20,75,"Eco Plus",14,"3/14/14","US","Southeast Airlines Co.","Massachusetts","Arizona",16,1,0,"No",312,2300,9,-71.1407,42.3731,-111.97,33.4941,NA
"5172","San Francisco, CA","Chicago, IL","Silver",54,"Male",1,2005,20,-0.3793,"Business travel",1,0,45,"Eco",21,"2/21/14","OU","Oursin Airlines Inc.","Illinois","California",9,0,8,"No",257,1846,7,-87.8954,41.8271,-122.1585,37.6712,NA
"5173","Hartford, CT","Detroit, MI","Blue",31,"Male",1,2006,12,0.1111,"Business travel",1,25,20,"Eco",4,"3/4/14","DL","Sigma Airlines Inc.","Michigan","Connecticut",21,0,0,"No",66,549,8,-83.2276,42.49,-72.6988,41.7401,NA
"5174","Seattle, WA","San Jose, CA","Blue",53,"Female",0,2008,8,-0.7778,"Business travel",0,0,25,"Eco Plus",26,"3/26/14","AS","FlyToSun Airlines Inc.","California","Washington",15,0,8,"No",107,697,8,-121.9451,37.3298,-122.2747,47.4684,NA
"5175","Miami, FL","San Juan, PR","Blue",41,"Male",1,2005,3,0.4545,"Business travel",2,10,225,"Eco",26,"3/26/14","AA","Paul Smith Airlines Inc.","Puerto Rico","Florida",6,0,0,"No",142,1045,8,-66.1162,18.2882,-80.2314,26.1756,NA
"5176","Dallas, TX","St. Louis, MO","Silver",55,"Male",2,2009,18,-0.6364,"Business travel",0,40,65,"Eco",22,"2/22/14","WN","Cheapseats Airlines Inc.","Missouri","Texas",16,0,0,"No",92,546,7,-90.3409,38.6307,-96.972,32.8127,NA
"5177","Boston, MA","Charlotte, NC","Blue",71,"Male",1,2004,55,-0.8333,"Personal Travel",0,0,60,"Eco",18,"2/18/14","US","Southeast Airlines Co.","North Carolina","Massachusetts",22,0,0,"No",98,728,4,-80.8158,35.2497,-71.1407,42.3731,NA
"5178","Portland, OR","Chicago, IL","Blue",53,"Female",1,2006,5,-0.4286,"Business travel",0,30,20,"Eco",4,"2/4/14","AA","Paul Smith Airlines Inc.","Illinois","Oregon",16,22,12,"No",242,1739,8,-87.8954,41.8271,-122.6511,45.5204,NA
"5179","Rochester, NY","Chicago, IL","Blue",85,"Female",1,2008,39,-0.6957,"Personal Travel",0,0,120,"Eco",13,"3/13/14","MQ","EnjoyFlying Air Services","Illinois","New York",11,2,0,"No",74,528,7,-87.8954,41.8271,-77.5682,43.1376,NA
"5180","Orlando, FL","Charlotte, NC","Blue",26,"Male",2,2005,20,-0.6667,"Business travel",1,0,40,"Eco",10,"3/10/14","US","Southeast Airlines Co.","North Carolina","Florida",20,0,0,"No",64,468,9,-80.8158,35.2497,-81.4112,28.5844,NA
"5181","San Jose, CA","Los Angeles, CA","Blue",58,"Female",1,2010,20,-0.6,"Business travel",0,0,30,"Eco",31,"1/31/14","OO","Northwest Business Airlines Inc.","California","California",13,0,8,"No",55,308,6,-118.1043,33.9827,-121.9451,37.3298,NA
"5182","Atlanta, GA","Houston, TX","Silver",49,"Female",2,2008,11,-0.8333,"Business travel",1,0,120,"Eco",2,"3/2/14","OO","Northwest Business Airlines Inc.","Texas","Georgia",13,139,140,"No",101,689,7,-95.3935,29.7843,-84.3319,33.8241,NA
"5183","Atlanta, GA","Washington, DC","Silver",54,"Male",1,2004,4,-0.1429,"Business travel",1,0,40,"Eco Plus",21,"2/21/14","EV","FlyFast Airways Inc.","Virginia","Georgia",8,4,6,"No",94,534,7,-77.1897,38.8974,-84.3319,33.8241,NA
"5184","San Diego, CA","Atlanta, GA","Silver",62,"Male",1,2003,28,-0.8667,"Personal Travel",0,0,200,"Eco",8,"3/8/14","WN","Cheapseats Airlines Inc.","Georgia","California",14,7,0,"No",258,1892,8,-84.3319,33.8241,-117.1288,32.9287,NA
"5185","Salt Lake City, UT","Phoenix, AZ","Platinum",58,"Male",1,2003,7,0.125,"Business travel",0,0,5,"Eco",13,"2/13/14","DL","Sigma Airlines Inc.","Arizona","Utah",19,0,0,"No",76,507,6,-111.97,33.4941,-111.9295,40.6408,NA
"5186","Atlanta, GA","Richmond, VA","Silver",68,"Female",2,2011,21,-0.4483,"Personal Travel",0,20,85,"Eco Plus",23,"1/23/14","DL","Sigma Airlines Inc.","Virginia","Georgia",17,0,0,"No",90,481,8,-77.488,37.4779,-84.3319,33.8241,NA
"5187","Phoenix, AZ","Salt Lake City, UT","Blue",26,"Male",2,2004,37,-0.8974,"Business travel",2,70,30,"Eco",10,"2/10/14","WN","Cheapseats Airlines Inc.","Utah","Arizona",8,1,0,"No",77,507,9,-111.9295,40.6408,-111.97,33.4941,NA
"5188","Houston, TX","Boston, MA","Blue",33,"Female",1,2003,3,0.7692,"Business travel",2,110,136,"Eco",21,"2/21/14","OU","Oursin Airlines Inc.","Massachusetts","Texas",12,0,1,"No",248,1597,10,-71.1407,42.3731,-95.3935,29.7843,NA
"5189","Atlanta, GA","New York, NY","Blue",64,"Female",1,2007,20,-0.4286,"Business travel",0,35,45,"Eco",24,"1/24/14","FL","FlyHere Airways","New York","Georgia",11,0,0,"No",111,762,7,-73.9702,40.7184,-84.3319,33.8241,NA
"5190","Los Angeles, CA","Phoenix, AZ","Silver",57,"Female",1,2004,10,0,"Business travel",0,30,40,"Eco",14,"1/14/14","WN","Cheapseats Airlines Inc.","Arizona","California",8,0,0,"No",56,370,9,-111.97,33.4941,-118.1043,33.9827,NA
"5191","Phoenix, AZ","Charlotte, NC","Blue",75,"Female",1,2011,20,-0.5385,"Personal Travel",0,0,50,"Eco",9,"1/9/14","US","Southeast Airlines Co.","North Carolina","Arizona",9,0,0,"No",259,1773,4,-80.8158,35.2497,-111.97,33.4941,NA
"5192","Phoenix, AZ","Milwaukee, WI","Blue",32,"Female",1,2005,19,0.0732,"Business travel",2,80,4,"Eco",30,"3/30/14","WN","Cheapseats Airlines Inc.","Wisconsin","Arizona",19,5,5,"No",215,1460,8,-88.1005,43.0557,-111.97,33.4941,NA
"5193","Kansas City, MO","Chicago, IL","Blue",36,"Male",1,2003,49,-0.7193,"Personal Travel",0,20,40,"Eco",11,"2/11/14","WN","Cheapseats Airlines Inc.","Illinois","Missouri",8,3,0,"No",66,405,7,-87.8954,41.8271,-94.5949,39.0398,NA
"5194","Pittsburgh, PA","Atlanta, GA","Silver",25,"Male",1,2012,49,-0.8148,"Business travel",0,0,45,"Eco",12,"1/12/14","FL","FlyHere Airways","Georgia","Pennsylvania",16,4,0,"No",69,526,7,-84.3319,33.8241,-79.951,40.457,NA
"5195","Miami, FL","Key West, FL","Blue",49,"Female",1,2003,2,-0.3333,"Business travel",0,276,0,"Business",20,"3/20/14","MQ","EnjoyFlying Air Services","Florida","Florida",19,0,0,"No",23,125,8,-81.7515,24.5696,-80.2314,26.1756,NA
"5196","St. Louis, MO","Charlotte, NC","Blue",36,"Male",1,2007,17,0.15,"Business travel",2,60,120,"Eco",26,"3/26/14","US","Southeast Airlines Co.","North Carolina","Missouri",14,0,0,"No",97,575,9,-80.8158,35.2497,-90.3409,38.6307,NA
"5197","Salt Lake City, UT","Minneapolis, MN","Silver",65,"Female",1,2003,21,-0.5,"Personal Travel",0,0,105,"Eco",28,"2/28/14","DL","Sigma Airlines Inc.","Minnesota","Utah",19,0,4,"No",157,991,8,-93.2798,44.9782,-111.9295,40.6408,NA
"5198","Kahului, HI","Anchorage, AK","Blue",42,"Male",1,2010,27,-0.6364,"Business travel",0,40,45,"Eco Plus",18,"1/18/14","AS","FlyToSun Airlines Inc.","Alaska","Hawaii",10,37,29,"No",350,2797,9,-149.8472,61.1679,-156.4779,20.8864,NA
"5199","San Francisco, CA","Seattle, WA","Blue",56,"Female",1,2011,22,-0.4667,"Business travel",0,60,165,"Eco",3,"2/3/14","OU","Oursin Airlines Inc.","Washington","California",20,20,0,"No",86,679,9,-122.2747,47.4684,-122.1585,37.6712,NA
"5200","Charlotte, NC","San Francisco, CA","Blue",65,"Female",2,2004,38,-0.8537,"Personal Travel",1,0,15,"Eco",24,"3/24/14","US","Southeast Airlines Co.","California","North Carolina",2,103,85,"No",249,2296,4,-122.1585,37.6712,-80.8158,35.2497,NA
"5201","Sioux Falls, SD","Denver, CO","Blue",38,"Male",1,2006,14,-0.5556,"Business travel",1,0,45,"Eco",24,"2/24/14","OO","Northwest Business Airlines Inc.","Colorado","South Dakota",9,5,0,"No",68,483,10,-104.9551,39.7108,-96.7356,43.5335,NA
"5202","Syracuse, NY","New York, NY","Blue",47,"Female",1,2007,20,0.2857,"Personal Travel",2,130,40,"Eco",5,"2/5/14","B6","OnlyJets Airlines Inc.","New York","New York",22,17,18,"No",44,209,4,-73.9702,40.7184,-76.164,43.0904,NA
"5203","New York, NY","Chicago, IL","Blue",40,"Female",1,2006,17,-0.2593,"Personal Travel",0,0,50,"Business",26,"1/26/14","WN","Cheapseats Airlines Inc.","Illinois","New York",13,32,26,"No",93,725,4,-87.8954,41.8271,-73.9702,40.7184,NA
"5204","New York, NY","Boston, MA","Blue",36,"Female",1,2008,8,-0.7778,"Business travel",0,145,30,"Eco",27,"2/27/14","B6","OnlyJets Airlines Inc.","Massachusetts","New York",12,0,23,"No",55,187,9,-71.1407,42.3731,-73.9702,40.7184,NA
"5205","San Diego, CA","Salt Lake City, UT","Blue",29,"Female",1,2009,48,-0.5738,"Business travel",3,0,0,"Eco",18,"3/18/14","DL","Sigma Airlines Inc.","Utah","California",21,0,0,"No",84,626,8,-111.9295,40.6408,-117.1288,32.9287,NA
"5206","Cleveland, OH","Chicago, IL","Blue",17,"Male",2,2010,12,-0.2,"Personal Travel",3,0,30,"Eco",28,"2/28/14","EV","FlyFast Airways Inc.","Illinois","Ohio",21,9,6,"No",48,315,3,-87.8954,41.8271,-81.6054,41.4436,NA
"5207","San Francisco, CA","Portland, OR","Blue",40,"Male",1,2006,28,-0.4359,"Personal Travel",4,123,150,"Eco",20,"3/20/14","OO","Northwest Business Airlines Inc.","Oregon","California",15,0,0,"No",80,550,7,-122.6511,45.5204,-122.1585,37.6712,NA
"5208","Chicago, IL","Atlanta, GA","Blue",26,"Female",2,2004,11,-0.2222,"Business travel",3,75,30,"Eco",16,"2/16/14","DL","Sigma Airlines Inc.","Georgia","Illinois",13,0,11,"No",103,606,7,-84.3319,33.8241,-87.8954,41.8271,NA
"5209","San Francisco, CA","Seattle, WA","Blue",49,"Female",2,2007,33,-0.6098,"Personal Travel",1,0,60,"Eco",27,"1/27/14","AS","FlyToSun Airlines Inc.","Washington","California",11,11,0,"No",96,679,7,-122.2747,47.4684,-122.1585,37.6712,NA
"5210","Montgomery, AL","Atlanta, GA","Blue",20,"Female",2,2011,23,-0.6429,"Business travel",0,0,40,"Eco",8,"1/8/14","EV","FlyFast Airways Inc.","Georgia","Alabama",22,0,0,"No",33,147,8,-84.3319,33.8241,-86.2975,32.4,NA
"5211","Los Angeles, CA","Orlando, FL","Blue",68,"Male",2,2008,38,-0.6889,"Business travel",0,60,90,"Eco",24,"2/24/14","OU","Oursin Airlines Inc.","Florida","California",18,0,0,"No",302,2218,8,-81.4112,28.5844,-118.1043,33.9827,NA
"5212","San Jose, CA","Portland, OR","Platinum",49,"Female",1,2009,14,-0.3333,"Business travel",0,0,75,"Eco",17,"3/17/14","WN","Cheapseats Airlines Inc.","Oregon","California",17,4,0,"No",79,569,10,-122.6511,45.5204,-121.9451,37.3298,NA
"5213","Tucson, AZ","Denver, CO","Blue",55,"Male",1,2010,48,-0.7143,"Mileage tickets",0,18,15,"Eco",1,"3/1/14","OO","Northwest Business Airlines Inc.","Colorado","Arizona",15,35,62,"No",116,639,9,-104.9551,39.7108,-110.9461,32.2549,NA
"5214","San Francisco, CA","Los Angeles, CA","Blue",51,"Male",1,2009,59,-0.9032,"Business travel",0,0,10,"Eco",5,"2/5/14","OU","Oursin Airlines Inc.","California","California",19,0,0,"No",57,337,8,-118.1043,33.9827,-122.1585,37.6712,NA
"5215","Chicago, IL","Omaha, NE","Blue",42,"Male",1,2009,36,-0.8,"Business travel",2,0,50,"Business",20,"2/20/14","WN","Cheapseats Airlines Inc.","Nebraska","Illinois",10,152,156,"No",66,423,9,-96.0346,41.2349,-87.8954,41.8271,NA
"5216","Boston, MA","Richmond, VA","Blue",47,"Male",1,2006,14,-0.5556,"Business travel",0,0,75,"Eco",1,"1/1/14","B6","OnlyJets Airlines Inc.","Virginia","Massachusetts",8,0,0,"No",67,474,9,-77.488,37.4779,-71.1407,42.3731,NA
